source_text,target_text
"Employment contract","عقد العمل"
"No visible contract record","لا يوجد عقد ظاهر ضمن صلاحياتك"
"Today's attendance","حضور اليوم"
"{0} working hours","{0} ساعات عمل"
"Last movement: {0}","آخر حركة: {0}"
"No attendance movement recorded today","لا توجد حركة حضور مسجلة اليوم"
"Latest paid payroll","آخر مسير راتب مدفوع"
"No paid payroll record","لا يوجد مسير راتب مدفوع"
"Hidden by your payroll permissions","مخفي وفق صلاحيات الرواتب لديك"
"Access and records","الصلاحيات والسجلات"
"Linked to {0}","مرتبط بالمستخدم {0}"
"No system user linked","لا يوجد مستخدم نظام مرتبط"
"{0} held documents","{0} مستندات بعهدة الموظف"
"Documents hidden","المستندات مخفية وفق صلاحياتك"
"No urgent operational gaps were detected in this employee file.","لم تُرصد فجوات تشغيلية عاجلة في ملف هذا الموظف."
"Review employment status","راجع حالة التوظيف"
"The employee is not currently marked as active.","الموظف غير مسجل حاليًا بحالة نشط."
"Complete core profile data","استكمل البيانات الأساسية"
"Add the department, designation, branch and contact details.","أضف القسم والمسمى الوظيفي والفرع وبيانات التواصل."
"Link an enabled system user","اربط مستخدم نظام مفعّل"
"Enable secure self-service and attendance access for this employee.","فعّل الخدمة الذاتية الآمنة والوصول إلى الحضور لهذا الموظف."
"Complete the employment contract","استكمل عقد العمل"
"Create, renew or review the visible Saudi employment contract.","أنشئ عقد العمل السعودي الظاهر أو جدده أو راجعه."
"Assign a leave policy","عيّن سياسة إجازات"
"Apply the correct policy to this employee or their department.","طبّق السياسة المناسبة على الموظف أو قسمه."
"Complete attendance setup","استكمل إعداد الحضور"
"Assign an active shift and a branch attendance location.","عيّن وردية نشطة وموقع حضور تابعًا للفرع."
"Review work authorization","راجع تصريح العمل"
"Add or renew the expatriate employee's Iqama and work permit.","أضف أو جدد إقامة الموظف الوافد وتصريح عمله."
"Review employee record","راجع سجل الموظف"
"This item needs an HR review.","يحتاج هذا البند إلى مراجعة الموارد البشرية."
"New leave request","طلب إجازة جديد"
"Mobile attendance","الحضور عبر الجوال"
"Complete file","الملف الشامل"
"Leave policy","سياسة الإجازات"
"Operationally ready","جاهز تشغيليًا"
"Ready with follow-up","جاهز مع متابعة"
"Action required","يتطلب إجراء"
"Operational data-readiness indicator only; it is not a legal-compliance certification.","مؤشر لجاهزية البيانات التشغيلية فقط، ولا يُعد شهادة امتثال نظامي."
"Paid Payroll History","سجل الرواتب المدفوعة"
"Loading paid payroll history...","جارٍ تحميل سجل الرواتب المدفوعة…"
"Unable to load paid payroll history right now.","تعذر تحميل سجل الرواتب المدفوعة حاليًا."
"No paid payroll records were found for this employee.","لم يُعثر على مسيرات رواتب مدفوعة لهذا الموظف."
"Onboarding & Employment","التهيئة والتوظيف"
"Time, Leave & Payroll","الدوام والإجازات والرواتب"
"Payroll & Benefits","الرواتب والمزايا"
"Performance & Development","الأداء والتطوير"
"Employee Relations & Legal","علاقات الموظفين والشؤون النظامية"
"Documents","المستندات"
"Separation & Offboarding","انتهاء العلاقة وإخلاء الطرف"
